"site","date","Freq","type","visits"
"mas-vignoles-x",2023-08-05,2,"specific",33
"mask",2023-08-05,2,"specific",44
"moulin-neuf",2023-08-05,2,"specific",17
"petit-paulmy",2023-08-05,2,"specific",38
"roc-de-marcamps1",2023-08-05,2,"specific",27
"roc-de-marcamps2",2023-08-05,2,"specific",25
"roche-a-pierrot",2023-08-05,2,"specific",36
"roquemissou",2023-08-05,2,"specific",39
"shuidonggou2",2023-08-05,1,"specific",41
"tai",2023-08-05,4,"specific",186
"teseticeX08",2023-08-05,2,"specific",34
"bilzingsleben",2023-08-06,1,"specific",53
"de",2023-08-06,1,"generic",24
"en",2023-08-06,6,"generic",725
"fr",2023-08-06,4,"generic",350
"portal",2023-08-06,10,"portal",1268
"it",2023-08-06,2,"generic",114
"pirro-nord13",2023-08-06,1,"specific",18
"poeymau",2023-08-06,2,"specific",82
"pt",2023-08-06,2,"generic",106
"shuidonggou2",2023-08-06,1,"specific",42
"tai",2023-08-06,1,"specific",187
"tute-du-pelerin",2023-08-06,2,"specific",42
"en",2023-08-07,3,"generic",728
"fr",2023-08-07,1,"generic",351
"portal",2023-08-07,5,"portal",1273
"mnk-skull-t3",2023-08-07,1,"specific",6
"poeymau",2023-08-07,1,"specific",83
"shuidonggou2",2023-08-07,1,"specific",43
"altenerding",2023-08-08,1,"specific",87
"amalda",2023-08-08,1,"specific",114
"barger-gulch",2023-08-08,1,"specific",77
"barmose",2023-08-08,1,"specific",17
"bastos",2023-08-08,1,"specific",42
"bilzingsleben",2023-08-08,1,"specific",54
"cassenade",2023-08-08,1,"specific",50
"champ-parel3",2023-08-08,1,"specific",35
"chauzeys",2023-08-08,1,"specific",21
"chez-thuilet",2023-08-08,1,"specific",28
"de",2023-08-08,1,"generic",25
"en",2023-08-08,1,"generic",729
"portal",2023-08-08,3,"portal",1276
"it",2023-08-08,1,"generic",115
"pt",2023-08-08,1,"generic",107
"tai",2023-08-08,1,"specific",188
"tute-du-pelerin",2023-08-08,1,"specific",43
"en",2023-08-09,7,"generic",736
"fr",2023-08-09,4,"generic",355
"portal",2023-08-09,10,"portal",1286
"petit-paulmy",2023-08-09,1,"specific",39
"tai",2023-08-09,6,"specific",194
"barger-gulch",2023-08-10,1,"specific",78
"de",2023-08-10,2,"generic",27
"en",2023-08-10,6,"generic",742
"fr",2023-08-10,3,"generic",358
"portal",2023-08-10,3,"portal",1289
"it",2023-08-10,2,"generic",117
"pt",2023-08-10,2,"generic",109
"shuidonggou2",2023-08-10,2,"specific",45
"tai",2023-08-10,2,"specific",196
"tute-du-pelerin",2023-08-10,1,"specific",44
"anse-a-henry",2023-08-11,1,"specific",64
"en",2023-08-11,3,"generic",745
"fr",2023-08-11,2,"generic",360
"portal",2023-08-11,7,"portal",1296
"teseticeX08",2023-08-11,2,"specific",36
"tute-du-pelerin",2023-08-11,2,"specific",46
"barger-gulch",2023-08-12,1,"specific",79
"en",2023-08-12,3,"generic",748
"portal",2023-08-12,11,"portal",1307
"it",2023-08-12,2,"generic",119
"madjedbebe",2023-08-12,1,"specific",6
"pt",2023-08-12,1,"generic",110
"barger-gulch",2023-08-13,1,"specific",80
"chauzeys",2023-08-13,2,"specific",23
"en",2023-08-13,7,"generic",755
"fr",2023-08-13,1,"generic",361
"portal",2023-08-13,4,"portal",1311
"pt",2023-08-13,1,"generic",111
"altenerding",2023-08-14,1,"specific",88
"amalda",2023-08-14,1,"specific",115
"barger-gulch",2023-08-14,1,"specific",81
"bastos",2023-08-14,1,"specific",43
"bilzingsleben",2023-08-14,1,"specific",55
"cassenade",2023-08-14,1,"specific",51
"champ-parel3",2023-08-14,1,"specific",36
"chez-thuilet",2023-08-14,1,"specific",29
"en",2023-08-14,2,"generic",757
"grande-rivoire",2023-08-14,1,"specific",39
"portal",2023-08-14,11,"portal",1322
"it",2023-08-14,1,"generic",120
"pt",2023-08-14,1,"generic",112
"tute-du-pelerin",2023-08-14,3,"specific",49
"de",2023-08-15,1,"generic",28
"en",2023-08-15,6,"generic",763
"fr",2023-08-15,2,"generic",363
"grotte16",2023-08-15,1,"specific",42
"portal",2023-08-15,5,"portal",1327
"it",2023-08-15,1,"generic",121
"le-flageolet",2023-08-15,1,"specific",27
"pt",2023-08-15,2,"generic",114
"shuidonggou2",2023-08-15,1,"specific",46
"tute-du-pelerin",2023-08-15,1,"specific",50
"barger-gulch",2023-08-16,2,"specific",83
"barmose",2023-08-16,1,"specific",18
"chauzeys",2023-08-16,1,"specific",24
"en",2023-08-16,3,"generic",766
"fr",2023-08-16,2,"generic",365
"portal",2023-08-16,12,"portal",1339
"it",2023-08-16,2,"generic",123
"marathousa1a",2023-08-16,1,"specific",18
"marathousa1b",2023-08-16,1,"specific",17
"petit-paulmy",2023-08-16,1,"specific",40
"poeymau",2023-08-16,1,"specific",84
"pt",2023-08-16,1,"generic",115
"shuidonggou2",2023-08-16,1,"specific",47
"tai",2023-08-16,1,"specific",197
"altenerding",2023-08-17,1,"specific",89
"amalda",2023-08-17,1,"specific",116
"chauzeys",2023-08-17,1,"specific",25
"de",2023-08-17,4,"generic",32
"en",2023-08-17,11,"generic",777
"fontechevade",2023-08-17,1,"specific",9
"fr",2023-08-17,7,"generic",372
"portal",2023-08-17,11,"portal",1350
"it",2023-08-17,5,"generic",128
"les-jambes",2023-08-17,1,"specific",41
"marathousa1b",2023-08-17,1,"specific",18
"pt",2023-08-17,4,"generic",119
"shuidonggou2",2023-08-17,2,"specific",49
"barger-gulch",2023-08-18,1,"specific",84
"bilzingsleben",2023-08-18,3,"specific",58
"en",2023-08-18,8,"generic",785
"fr",2023-08-18,4,"generic",376
"portal",2023-08-18,11,"portal",1361
"it",2023-08-18,2,"generic",130
"kieler1",2023-08-18,2,"specific",27
"pt",2023-08-18,2,"generic",121
"tai",2023-08-18,1,"specific",198
"tute-du-pelerin",2023-08-18,3,"specific",53
"barger-gulch",2023-08-19,1,"specific",85
"de",2023-08-19,2,"generic",34
"en",2023-08-19,5,"generic",790
"fr",2023-08-19,2,"generic",378
"portal",2023-08-19,4,"portal",1365
"it",2023-08-19,1,"generic",131
"moulin-neuf",2023-08-19,1,"specific",18
"altenerding",2023-08-20,1,"specific",90
"amalda",2023-08-20,1,"specific",117
"anse-a-henry",2023-08-20,1,"specific",65
"barger-gulch",2023-08-20,2,"specific",87
"bastos",2023-08-20,1,"specific",44
"bilzingsleben",2023-08-20,2,"specific",60
"bout-des-vergnes",2023-08-20,1,"specific",17
"cassenade",2023-08-20,1,"specific",52
"champ-parel3",2023-08-20,1,"specific",37
"chez-thuilet",2023-08-20,1,"specific",30
"combe-cullier",2023-08-20,1,"specific",37
"combe-greze",2023-08-20,1,"specific",30
"de",2023-08-20,1,"generic",35
"en",2023-08-20,4,"generic",794
"erb-tanks",2023-08-20,1,"specific",50
"fr",2023-08-20,1,"generic",379
"grande-rivoire",2023-08-20,1,"specific",40
"grotte16",2023-08-20,1,"specific",43
"portal",2023-08-20,7,"portal",1372
"it",2023-08-20,1,"generic",132
"kieler1",2023-08-20,1,"specific",28
"le-flageolet",2023-08-20,1,"specific",28
"les-jambes",2023-08-20,1,"specific",42
"madjedbebe",2023-08-20,1,"specific",7
"marathousa1a",2023-08-20,2,"specific",20
"marathousa1b",2023-08-20,2,"specific",20
"mas-vignoles-x",2023-08-20,1,"specific",34
"mask",2023-08-20,1,"specific",45
"mnk-skull-t3",2023-08-20,1,"specific",7
"moulin-neuf",2023-08-20,1,"specific",19
"petit-paulmy",2023-08-20,1,"specific",41
"pirro-nord13",2023-08-20,1,"specific",19
"poeymau",2023-08-20,2,"specific",86
"pt",2023-08-20,2,"generic",123
"roc-de-marcamps1",2023-08-20,1,"specific",28
"roc-de-marcamps2",2023-08-20,1,"specific",26
"roche-a-pierrot",2023-08-20,2,"specific",38
"roquemissou",2023-08-20,1,"specific",40
"shuidonggou2",2023-08-20,2,"specific",51
"tai",2023-08-20,2,"specific",200
"teseticeX08",2023-08-20,1,"specific",37
"tute-du-pelerin",2023-08-20,3,"specific",56
"altenerding",2023-08-21,1,"specific",91
"amalda",2023-08-21,1,"specific",118
"bastos",2023-08-21,1,"specific",45
"bilzingsleben",2023-08-21,1,"specific",61
"cassenade",2023-08-21,1,"specific",53
"champ-parel3",2023-08-21,1,"specific",38
"chez-thuilet",2023-08-21,2,"specific",32
"en",2023-08-21,9,"generic",803
"fr",2023-08-21,1,"generic",380
"grande-rivoire",2023-08-21,1,"specific",41
"portal",2023-08-21,9,"portal",1381
"it",2023-08-21,2,"generic",134
"mas-vignoles-x",2023-08-21,1,"specific",35
"pt",2023-08-21,1,"generic",124
"tai",2023-08-21,2,"specific",202
"tute-du-pelerin",2023-08-21,1,"specific",57
"de",2023-08-22,2,"generic",37
"en",2023-08-22,7,"generic",810
"fr",2023-08-22,7,"generic",387
"portal",2023-08-22,12,"portal",1393
"it",2023-08-22,1,"generic",135
"madjedbebe",2023-08-22,1,"specific",8
"marathousa1b",2023-08-22,1,"specific",21
"pt",2023-08-22,2,"generic",126
"shuidonggou2",2023-08-22,2,"specific",53
"tai",2023-08-22,3,"specific",205
"altenerding",2023-08-23,1,"specific",92
"bessinaudes",2023-08-23,1,"specific",15
"bilzingsleben",2023-08-23,1,"specific",62
"combe-capelle-a1a2",2023-08-23,1,"specific",22
"de",2023-08-23,2,"generic",39
"en",2023-08-23,9,"generic",819
"fr",2023-08-23,6,"generic",393
"portal",2023-08-23,8,"portal",1401
"it",2023-08-23,5,"generic",140
"kieler1",2023-08-23,2,"specific",30
"pt",2023-08-23,5,"generic",131
"shuidonggou2",2023-08-23,4,"specific",57
"tai",2023-08-23,4,"specific",209
"tute-du-pelerin",2023-08-23,1,"specific",58
"barger-gulch",2023-08-24,1,"specific",88
"barmose",2023-08-24,1,"specific",19
"bout-des-vergnes",2023-08-24,1,"specific",18
"cassenade",2023-08-24,1,"specific",54
"champ-parel3",2023-08-24,1,"specific",39
"chauzeys",2023-08-24,1,"specific",26
"combe-greze",2023-08-24,1,"specific",31
"de",2023-08-24,2,"generic",41
"en",2023-08-24,4,"generic",823
"fr",2023-08-24,4,"generic",397
"portal",2023-08-24,7,"portal",1408
"it",2023-08-24,2,"generic",142
"marathousa1b",2023-08-24,1,"specific",22
"mas-vignoles-x",2023-08-24,1,"specific",36
"pt",2023-08-24,3,"generic",134
"roc-de-marcamps2",2023-08-24,1,"specific",27
"shuidonggou2",2023-08-24,1,"specific",58
"tai",2023-08-24,1,"specific",210
"tute-du-pelerin",2023-08-24,2,"specific",60
"camiac",2023-08-25,2,"specific",2
"champ-parel3",2023-08-25,1,"specific",40
"de",2023-08-25,1,"generic",42
"en",2023-08-25,5,"generic",828
"fr",2023-08-25,3,"generic",400
"portal",2023-08-25,7,"portal",1415
"it",2023-08-25,3,"generic",145
"madjedbebe",2023-08-25,1,"specific",9
"mnk-skull-t3",2023-08-25,1,"specific",8
"pt",2023-08-25,2,"generic",136
"shuidonggou2",2023-08-25,5,"specific",63
"tai",2023-08-25,1,"specific",211
"barger-gulch",2023-08-26,1,"specific",89
"de",2023-08-26,1,"generic",43
"en",2023-08-26,3,"generic",831
"fr",2023-08-26,1,"generic",401
"portal",2023-08-26,4,"portal",1419
"pt",2023-08-26,2,"generic",138
"altenerding",2023-08-27,1,"specific",93
"barger-gulch",2023-08-27,1,"specific",90
"barmose",2023-08-27,1,"specific",20
"bastos",2023-08-27,1,"specific",46
"de",2023-08-27,3,"generic",46
"en",2023-08-27,21,"generic",852
"erb-tanks",2023-08-27,1,"specific",51
"fr",2023-08-27,10,"generic",411
"grotte16",2023-08-27,1,"specific",44
"portal",2023-08-27,14,"portal",1433
"it",2023-08-27,27,"generic",172
"kieler1",2023-08-27,1,"specific",31
"moulin-neuf",2023-08-27,1,"specific",20
"poeymau",2023-08-27,1,"specific",87
"pt",2023-08-27,11,"generic",149
"shuidonggou2",2023-08-27,20,"specific",83
"tai",2023-08-27,1,"specific",212
"tute-du-pelerin",2023-08-27,2,"specific",62
"altenerding",2023-08-28,1,"specific",94
"amalda",2023-08-28,1,"specific",119
"bastos",2023-08-28,1,"specific",47
"bilzingsleben",2023-08-28,1,"specific",63
"cassenade",2023-08-28,1,"specific",55
"champ-parel3",2023-08-28,1,"specific",41
"chez-thuilet",2023-08-28,1,"specific",33
"de",2023-08-28,1,"generic",47
"en",2023-08-28,17,"generic",869
"fr",2023-08-28,14,"generic",425
"portal",2023-08-28,7,"portal",1440
"it",2023-08-28,5,"generic",177
"pt",2023-08-28,2,"generic",151
"shuidonggou2",2023-08-28,3,"specific",86
"amalda",2023-08-29,1,"specific",120
"camiac",2023-08-29,1,"specific",3
"cassenade",2023-08-29,1,"specific",56
"de",2023-08-29,3,"generic",50
"en",2023-08-29,7,"generic",876
"fr",2023-08-29,10,"generic",435
"grotte16",2023-08-29,1,"specific",45
"portal",2023-08-29,8,"portal",1448
"it",2023-08-29,4,"generic",181
"poeymau",2023-08-29,1,"specific",88
"pt",2023-08-29,4,"generic",155
"shuidonggou2",2023-08-29,3,"specific",89
"altenerding",2023-08-30,2,"specific",96
"barger-gulch",2023-08-30,2,"specific",92
"bilzingsleben",2023-08-30,1,"specific",64
"combe-greze",2023-08-30,1,"specific",32
"de",2023-08-30,1,"generic",51
"en",2023-08-30,6,"generic",882
"es",2023-08-30,1,"generic",1
"fr",2023-08-30,1,"generic",436
"grotte16",2023-08-30,2,"specific",47
"portal",2023-08-30,11,"portal",1459
"it",2023-08-30,2,"generic",183
"madjedbebe",2023-08-30,1,"specific",10
"moulin-neuf",2023-08-30,1,"specific",21
"poeymau",2023-08-30,1,"specific",89
"pt",2023-08-30,1,"generic",156
"shuidonggou2",2023-08-30,2,"specific",91
"teseticeX08",2023-08-30,1,"specific",38
"barger-gulch",2023-08-31,1,"specific",93
"champ-parel3",2023-08-31,1,"specific",42
"chauzeys",2023-08-31,1,"specific",27
"de",2023-08-31,3,"generic",54
"en",2023-08-31,1,"generic",883
"es",2023-08-31,2,"generic",3
"fr",2023-08-31,1,"generic",437
"grotte16",2023-08-31,2,"specific",49
"portal",2023-08-31,6,"portal",1465
"it",2023-08-31,1,"generic",184
"madjedbebe",2023-08-31,1,"specific",11
"marathousa1b",2023-08-31,1,"specific",23
"poeymau",2023-08-31,2,"specific",91
"shuidonggou2",2023-08-31,2,"specific",93
"barger-gulch",2023-09-01,1,"specific",94
"camiac",2023-09-01,2,"specific",5
"chauzeys",2023-09-01,1,"specific",28
"chez-thuilet",2023-09-01,1,"specific",34
"de",2023-09-01,1,"generic",55
"en",2023-09-01,4,"generic",887
"fr",2023-09-01,2,"generic",439
"portal",2023-09-01,7,"portal",1472
"it",2023-09-01,2,"generic",186
"madjedbebe",2023-09-01,2,"specific",13
"poeymau",2023-09-01,1,"specific",92
"pt",2023-09-01,2,"generic",158
"tai",2023-09-01,2,"specific",214
"altenerding",2023-09-02,1,"specific",97
"barmose",2023-09-02,1,"specific",21
"bilzingsleben",2023-09-02,1,"specific",65
"chauzeys",2023-09-02,1,"specific",29
"de",2023-09-02,1,"generic",56
"en",2023-09-02,3,"generic",890
"erb-tanks",2023-09-02,1,"specific",52
"fr",2023-09-02,3,"generic",442
"portal",2023-09-02,9,"portal",1481
"it",2023-09-02,2,"generic",188
"poeymau",2023-09-02,1,"specific",93
"pt",2023-09-02,1,"generic",159
"shuidonggou2",2023-09-02,1,"specific",94
"tai",2023-09-02,2,"specific",216
"de",2023-09-03,1,"generic",57
"en",2023-09-03,7,"generic",897
"erb-tanks",2023-09-03,2,"specific",54
"fr",2023-09-03,1,"generic",443
"grotte16",2023-09-03,1,"specific",50
"portal",2023-09-03,9,"portal",1490
"it",2023-09-03,2,"generic",190
"mnk-skull-t3",2023-09-03,1,"specific",9
"poeymau",2023-09-03,1,"specific",94
"pt",2023-09-03,2,"generic",161
"roc-de-marcamps1",2023-09-03,1,"specific",29
"shuidonggou2",2023-09-03,2,"specific",96
"teseticeX08",2023-09-03,1,"specific",39
"altenerding",2023-09-04,1,"specific",98
"amalda",2023-09-04,1,"specific",121
"barger-gulch",2023-09-04,1,"specific",95
"bastos",2023-09-04,1,"specific",48
"bilzingsleben",2023-09-04,1,"specific",66
"cassenade",2023-09-04,1,"specific",57
"champ-parel3",2023-09-04,1,"specific",43
"chez-thuilet",2023-09-04,1,"specific",35
"en",2023-09-04,1,"generic",898
"es",2023-09-04,1,"generic",4
"fr",2023-09-04,1,"generic",444
"portal",2023-09-04,4,"portal",1494
"it",2023-09-04,1,"generic",191
"pt",2023-09-04,1,"generic",162
"tute-du-pelerin",2023-09-04,1,"specific",63
"altenerding",2023-09-05,1,"specific",99
"de",2023-09-05,1,"generic",58
"en",2023-09-05,7,"generic",905
"es",2023-09-05,1,"generic",5
"fr",2023-09-05,1,"generic",445
"grotte16",2023-09-05,1,"specific",51
"portal",2023-09-05,6,"portal",1500
"it",2023-09-05,2,"generic",193
"petit-paulmy",2023-09-05,1,"specific",42
"poeymau",2023-09-05,1,"specific",95
"pt",2023-09-05,1,"generic",163
"shuidonggou2",2023-09-05,2,"specific",98
"tai",2023-09-05,1,"specific",217
"teseticeX08",2023-09-05,1,"specific",40
"altenerding",2023-09-06,2,"specific",101
"barger-gulch",2023-09-06,1,"specific",96
"en",2023-09-06,1,"generic",906
"fr",2023-09-06,1,"generic",446
"grotte16",2023-09-06,1,"specific",52
"portal",2023-09-06,11,"portal",1511
"mnk-skull-t3",2023-09-06,1,"specific",10
"poeymau",2023-09-06,2,"specific",97
"pt",2023-09-06,2,"generic",165
"shuidonggou2",2023-09-06,1,"specific",99
"tai",2023-09-06,1,"specific",218
"teseticeX08",2023-09-06,1,"specific",41
"altenerding",2023-09-07,3,"specific",104
"de",2023-09-07,1,"generic",59
"en",2023-09-07,6,"generic",912
"es",2023-09-07,1,"generic",6
"portal",2023-09-07,6,"portal",1517
"it",2023-09-07,2,"generic",195
"le-flageolet",2023-09-07,1,"specific",29
"les-jambes",2023-09-07,1,"specific",43
"shuidonggou2",2023-09-07,3,"specific",102
"altenerding",2023-09-08,1,"specific",105
"combe-cullier",2023-09-08,1,"specific",38
"de",2023-09-08,1,"generic",60
"en",2023-09-08,3,"generic",915
"fr",2023-09-08,3,"generic",449
"grotte16",2023-09-08,1,"specific",53
"portal",2023-09-08,5,"portal",1522
"it",2023-09-08,2,"generic",197
"poeymau",2023-09-08,1,"specific",98
"pt",2023-09-08,1,"generic",166
"altenerding",2023-09-09,3,"specific",108
"barger-gulch",2023-09-09,1,"specific",97
"chauzeys",2023-09-09,2,"specific",31
"de",2023-09-09,1,"generic",61
"en",2023-09-09,5,"generic",920
"es",2023-09-09,1,"generic",7
"portal",2023-09-09,4,"portal",1526
"it",2023-09-09,1,"generic",198
"shuidonggou2",2023-09-09,1,"specific",103
"tute-du-pelerin",2023-09-09,1,"specific",64
"altenerding",2023-09-10,3,"specific",111
"amalda",2023-09-10,1,"specific",122
"barger-gulch",2023-09-10,3,"specific",100
"barmose",2023-09-10,1,"specific",22
"bastos",2023-09-10,2,"specific",50
"bilzingsleben",2023-09-10,1,"specific",67
"cassenade",2023-09-10,1,"specific",58
"champ-parel3",2023-09-10,2,"specific",45
"chauzeys",2023-09-10,1,"specific",32
"chez-thuilet",2023-09-10,1,"specific",36
"combe-cullier",2023-09-10,1,"specific",39
"en",2023-09-10,1,"generic",921
"fr",2023-09-10,2,"generic",451
"grotte16",2023-09-10,1,"specific",54
"portal",2023-09-10,6,"portal",1532
"it",2023-09-10,1,"generic",199
"mask",2023-09-10,2,"specific",47
"pirro-nord13",2023-09-10,1,"specific",20
"poeymau",2023-09-10,1,"specific",99
"pt",2023-09-10,1,"generic",167
"shuidonggou2",2023-09-10,1,"specific",104
"tute-du-pelerin",2023-09-10,1,"specific",65
"altenerding",2023-09-11,1,"specific",112
"amalda",2023-09-11,1,"specific",123
"bastos",2023-09-11,1,"specific",51
"bilzingsleben",2023-09-11,1,"specific",68
"cassenade",2023-09-11,1,"specific",59
"chauzeys",2023-09-11,1,"specific",33
"chez-thuilet",2023-09-11,1,"specific",37
"de",2023-09-11,2,"generic",63
"en",2023-09-11,5,"generic",926
"erb-tanks",2023-09-11,1,"specific",55
"es",2023-09-11,1,"generic",8
"fr",2023-09-11,1,"generic",452
"portal",2023-09-11,8,"portal",1540
"it",2023-09-11,2,"generic",201
"petit-paulmy",2023-09-11,1,"specific",43
"pirro-nord13",2023-09-11,1,"specific",21
"poeymau",2023-09-11,1,"specific",100
"pt",2023-09-11,2,"generic",169
"barger-gulch",2023-09-12,1,"specific",101
"en",2023-09-12,3,"generic",929
"es",2023-09-12,1,"generic",9
"fr",2023-09-12,2,"generic",454
"grotte16",2023-09-12,1,"specific",55
"portal",2023-09-12,8,"portal",1548
"it",2023-09-12,2,"generic",203
"poeymau",2023-09-12,1,"specific",101
"pt",2023-09-12,1,"generic",170
"shuidonggou2",2023-09-12,2,"specific",106
"tute-du-pelerin",2023-09-12,1,"specific",66
"altenerding",2023-09-13,2,"specific",114
"anyskop",2023-09-13,1,"specific",1
"barmose",2023-09-13,2,"specific",24
"de",2023-09-13,3,"generic",66
"en",2023-09-13,11,"generic",940
"es",2023-09-13,1,"generic",10
"fr",2023-09-13,1,"generic",455
"portal",2023-09-13,6,"portal",1554
"it",2023-09-13,1,"generic",204
"poeymau",2023-09-13,1,"specific",102
"pt",2023-09-13,2,"generic",172
"altenerding",2023-09-14,2,"specific",116
"en",2023-09-14,5,"generic",945
"fr",2023-09-14,1,"generic",456
"portal",2023-09-14,2,"portal",1556
"altenerding",2023-09-15,3,"specific",119
"bilzingsleben",2023-09-15,1,"specific",69
"bout-des-vergnes",2023-09-15,1,"specific",19
"camiac",2023-09-15,1,"specific",6
"de",2023-09-15,1,"generic",67
"en",2023-09-15,5,"generic",950
"es",2023-09-15,1,"generic",11
"fr",2023-09-15,1,"generic",457
"grotte16",2023-09-15,1,"specific",56
"portal",2023-09-15,9,"portal",1565
"it",2023-09-15,3,"generic",207
"le-flageolet",2023-09-15,2,"specific",31
"les-jambes",2023-09-15,1,"specific",44
"madjedbebe",2023-09-15,1,"specific",14
"pirro-nord13",2023-09-15,1,"specific",22
"pt",2023-09-15,1,"generic",173
"shuidonggou2",2023-09-15,3,"specific",109
"tute-du-pelerin",2023-09-15,1,"specific",67
"altenerding",2023-09-16,4,"specific",123
"barger-gulch",2023-09-16,1,"specific",102
"barmose",2023-09-16,1,"specific",25
"cassenade",2023-09-16,2,"specific",61
"de",2023-09-16,2,"generic",69
"en",2023-09-16,2,"generic",952
"fr",2023-09-16,2,"generic",459
"portal",2023-09-16,6,"portal",1571
"it",2023-09-16,1,"generic",208
"pt",2023-09-16,1,"generic",174
"shuidonggou2",2023-09-16,1,"specific",110
"altenerding",2023-09-17,4,"specific",127
"bout-des-vergnes",2023-09-17,1,"specific",20
"cassenade",2023-09-17,1,"specific",62
"de",2023-09-17,5,"generic",74
"en",2023-09-17,10,"generic",962
"es",2023-09-17,7,"generic",18
"fr",2023-09-17,8,"generic",467
"grotte16",2023-09-17,4,"specific",60
"portal",2023-09-17,8,"portal",1579
"it",2023-09-17,3,"generic",211
"le-flageolet",2023-09-17,1,"specific",32
"mnk-skull-t3",2023-09-17,1,"specific",11
"poeymau",2023-09-17,3,"specific",105
"pt",2023-09-17,4,"generic",178
"ro",2023-09-17,10,"generic",10
"shuidonggou2",2023-09-17,5,"specific",115
"tute-du-pelerin",2023-09-17,1,"specific",68
"altenerding",2023-09-18,5,"specific",132
"bastos",2023-09-18,1,"specific",52
"champ-parel3",2023-09-18,1,"specific",46
"chauzeys",2023-09-18,2,"specific",35
"en",2023-09-18,3,"generic",965
"portal",2023-09-18,3,"portal",1582
"it",2023-09-18,2,"generic",213
"teseticeX08",2023-09-18,1,"specific",42
"altenerding",2023-09-19,4,"specific",136
"anyskop",2023-09-19,1,"specific",2
"barger-gulch",2023-09-19,2,"specific",104
"barmose",2023-09-19,1,"specific",26
"bastos",2023-09-19,1,"specific",53
"bilzingsleben",2023-09-19,1,"specific",70
"chauzeys",2023-09-19,1,"specific",36
"combe-greze",2023-09-19,1,"specific",33
"de",2023-09-19,1,"generic",75
"en",2023-09-19,10,"generic",975
"es",2023-09-19,4,"generic",22
"fr",2023-09-19,4,"generic",471
"grotte16",2023-09-19,3,"specific",63
"portal",2023-09-19,13,"portal",1595
"it",2023-09-19,3,"generic",216
"madjedbebe",2023-09-19,1,"specific",15
"marathousa1a",2023-09-19,1,"specific",21
"marathousa1b",2023-09-19,1,"specific",24
"mas-vignoles-x",2023-09-19,1,"specific",37
"poeymau",2023-09-19,2,"specific",107
"pt",2023-09-19,2,"generic",180
"ro",2023-09-19,3,"generic",13
"shuidonggou2",2023-09-19,3,"specific",118
"tai",2023-09-19,2,"specific",220
"altenerding",2023-09-20,4,"specific",140
"amalda",2023-09-20,2,"specific",125
"bastos",2023-09-20,3,"specific",56
"bilzingsleben",2023-09-20,1,"specific",71
"cassenade",2023-09-20,3,"specific",65
"champ-parel3",2023-09-20,1,"specific",47
"chez-thuilet",2023-09-20,2,"specific",39
"de",2023-09-20,1,"generic",76
"es",2023-09-20,4,"generic",26
"fr",2023-09-20,3,"generic",474
"grotte16",2023-09-20,1,"specific",64
"portal",2023-09-20,14,"portal",1609
"it",2023-09-20,1,"generic",217
"le-flageolet",2023-09-20,1,"specific",33
"petit-paulmy",2023-09-20,1,"specific",44
"ro",2023-09-20,1,"generic",14
"roc-de-marcamps1",2023-09-20,1,"specific",30
"roche-a-pierrot",2023-09-20,1,"specific",39
"shuidonggou2",2023-09-20,2,"specific",120
"altenerding",2023-09-21,1,"specific",141
"barger-gulch",2023-09-21,1,"specific",105
"bilzingsleben",2023-09-21,2,"specific",73
"cassenade",2023-09-21,1,"specific",66
"en",2023-09-21,4,"generic",979
"es",2023-09-21,2,"generic",28
"fontechevade",2023-09-21,1,"specific",10
"fr",2023-09-21,1,"generic",475
"grotte16",2023-09-21,1,"specific",65
"portal",2023-09-21,14,"portal",1623
"kieler1",2023-09-21,2,"specific",33
"marathousa1a",2023-09-21,1,"specific",22
"marathousa1b",2023-09-21,1,"specific",25
"poeymau",2023-09-21,1,"specific",108
"pt",2023-09-21,1,"generic",181
"shuidonggou2",2023-09-21,1,"specific",121
"tai",2023-09-21,3,"specific",223
"teseticeX08",2023-09-21,2,"specific",44
"altenerding",2023-09-22,2,"specific",143
"amalda",2023-09-22,3,"specific",128
"barger-gulch",2023-09-22,1,"specific",106
"bessinaudes",2023-09-22,1,"specific",16
"cassenade",2023-09-22,1,"specific",67
"champ-parel3",2023-09-22,2,"specific",49
"chauzeys",2023-09-22,1,"specific",37
"chez-thuilet",2023-09-22,1,"specific",40
"combe-greze",2023-09-22,1,"specific",34
"en",2023-09-22,3,"generic",982
"fr",2023-09-22,2,"generic",477
"grande-rivoire",2023-09-22,1,"specific",42
"portal",2023-09-22,11,"portal",1634
"it",2023-09-22,2,"generic",219
"mask",2023-09-22,1,"specific",48
"petit-paulmy",2023-09-22,2,"specific",46
"roc-de-marcamps1",2023-09-22,2,"specific",32
"tai",2023-09-22,3,"specific",226
"altenerding",2023-09-23,2,"specific",145
"amalda",2023-09-23,1,"specific",129
"anse-a-henry",2023-09-23,1,"specific",66
"barger-gulch",2023-09-23,2,"specific",108
"bastos",2023-09-23,1,"specific",57
"bilzingsleben",2023-09-23,1,"specific",74
"bout-des-vergnes",2023-09-23,1,"specific",21
"cassenade",2023-09-23,1,"specific",68
"champ-parel3",2023-09-23,1,"specific",50
"chez-thuilet",2023-09-23,1,"specific",41
"combe-cullier",2023-09-23,1,"specific",40
"combe-greze",2023-09-23,1,"specific",35
"en",2023-09-23,7,"generic",989
"erb-tanks",2023-09-23,1,"specific",56
"es",2023-09-23,2,"generic",30
