"id","lat","lon","altitude","location.type","grid.orientation","site.name","site.wikidata","n.objects","n.refits","n.objects.in.refitting.set","n.sites","site.continent","site.country","site.location","site.location.pid","period1","period1.uri","period2","period2.uri","period3","period3.uri","archeoviz.url","hal","hdl","excavator1","excavator1.orcid","excavator1.viaf","excavator2","excavator2.orcid","excavator2.viaf","excavator3","excavator3.orcid","excavator3.viaf","excavation.date","data.creator1","data.creator1.orcid","data.creator1.viaf","data.creator2","data.creator2.orcid","data.creator2.viaf","data.creator3","data.creator3.orcid","data.creator3.viaf","data.editor1","data.editor1.orcid","data.editor1.viaf","workflow.identifier.value","workflow.identifier.type","data.publication","data.identifier.value","data.identifier.type","data.license","internal.linking","archeoviz.pub.date","object_type1","object_type2","object_type3","object_type4","object_type5","object_type6","object_type7","object_type8","period.keywords"
30,55.063869,11.906947,0,"exact",NA,"Barmose","Q23750388",473,0,0,0,"Europe","Denmark","Ringsted","https://www.geonames.org/2614761/ringsted-kommune.html","Maglemosian","","","","","","https://analytics.huma-num.fr/archeoviz/barmose","hal-04049855","10670/1.eovsxz","Axel Johansson","","270790454","","","","","","","1967–1971","David L. Carlson","0000-0001-8641-3874","40876197","Georg Roth","","10148120456694790747","","","","–","","","10.5281/zenodo.10575563","doi","2021","https://CRAN.R-project.org/package=archdata","url","GPL-3","FALSE","20230223","lithic industry","lithic core","","","","","","","maglemosian mesolithic historical holocene quaternary "
29,48.29792,11.89674,467,"exact",0,"Altenerding","",6889,0,0,0,"Europe","Germany","Erding","https://www.geonames.org/6558215/erding.html","Merovingian","https://ark.frantiq.fr/ark:/26678/pcrt52vb3I1FaL","","","","","https://analytics.huma-num.fr/archeoviz/altenerding","hal-04049852","10670/1.rogylr","Walter Sage","","39814335","","","","","","","1965–1973","Andrej Pleterski","0000-0003-2978-004X","81924347","","","","","","","–","","","–","–","1998","http://iza.zrc-sazu.si/AE/Zbirka.htm","url","–","FALSE","20230220","metal items","","","","","","","","merovingian medieval historical holocene quaternary "
28,44.872979,0.524103,105,"exact",0,"Champ-Parel 3","",3746,2410,1770,0,"Europe","France","Bergerac","https://www.geonames.org/6455004/bergerac.html","Aurignacian","https://ark.frantiq.fr/ark:/26678/pcrtcwGrm8MEKV","","","","","https://analytics.huma-num.fr/archeoviz/champ-parel3","hal-04084688","10670/1.ltfq77","Jean-Pierre Chadelle","0000-0001-8204-0783","52023808","","","","","","","1985–1989","Jean-Pierre Chadelle","0000-0001-8204-0783","52023808","","","","","","","–","","","–","–","–","–","–","–","FALSE","20230429","lithic industry","lithic core","","","","","","","aurignacian upper paleolithic paleolithic pleistocene quaternary  upper palaeolithic palaeolithic"
27,46.81387,-56.17021,14,"exact",NA,"L'Anse à Henry","Q109255289",4413,0,0,0,"Europe","France","Saint-Pierre","https://www.geonames.org/3424935/commune-de-saint-pierre.html","Pre-Inuit","https://ark.frantiq.fr/ark:/26678/pcrtzb1smd79vd","","","","","https://analytics.huma-num.fr/archeoviz/anse-a-henry","hal-04049843","10670/1.ih3mur","Réginald Auger","0000-0001-5644-9622","58280778","Grégor Marchand","0000-0003-3912-6316","46928214","","","","2018–2022","Maureen Le Doaré","0000-0002-9335-8671","","Grégor Marchand","0000-0003-3912-6316","46928214","","","","–","","","–","–","–","–","–","–","FALSE","20230217","lithic industry","","","","","","","","pre-inuit holocene quaternary "
26,44.85169,1.08456,150,"exact",0,"Le Flageolet","",63992,725,2994,0,"Europe","France","Bézenac","https://www.geonames.org/6447768/bezenac.html","Gravettian","https://ark.frantiq.fr/ark:/26678/pcrt9U8BH9pVRu","","","","","https://analytics.huma-num.fr/archeoviz/le-flageolet","hal-04049675","10670/1.2agbgf","Jean-Philippe Rigaud","","17228744","","","","","","","1967–1993","Anaïs Vignoles","0000-0001-5027-2037","123165322587816020595","","","","","","","–","","","–","–","2021","https://osf.io/zyb5p/","url","–","FALSE","20230203","lithic industry","","","","","","","","gravettian upper paleolithic paleolithic pleistocene quaternary  upper palaeolithic palaeolithic"
25,44.8638,0.46035,37,"exact",0,"Le Bout des Vergnes","",17679,3740,4350,0,"Europe","France","Bergerac","https://www.geonames.org/6455004/bergerac.html","Middle Paleolithic","https://ark.frantiq.fr/ark:/26678/pcrtT7uGEJ3s0j","Châtelperronian","https://ark.frantiq.fr/ark:/26678/pcrt64y3sZlsg2","Aurignacian","https://ark.frantiq.fr/ark:/26678/pcrtcwGrm8MEKV","https://analytics.huma-num.fr/archeoviz/bout-des-vergnes","hal-04049670","10670/1.rn7c2b","Ewan Ihuel","","","Service archéologique de Dordogne","","","","","","2012–2013","Ewan Ihuel","","","et al.","","","","","","–","","","–","–","–","–","–","–","FALSE","20230210","lithic industry","","","","","","","","middle paleolithic paleolithic pleistocene quaternary middle palaeolithic palaeolithic  châtelperronian upper paleolithic chatelperronian upper palaeolithic aurignacian"
24,45.2636,0.34051,62,"exact",0,"Chez Thuilet","",1523,454,480,0,"Europe","France","Villetoureix","https://www.geonames.org/6429687/villetoureix.html","Magdalenian","https://ark.frantiq.fr/ark:/26678/pcrt3kzJ9EkRhW","","","","","https://analytics.huma-num.fr/archeoviz/chez-thuilet","hal-04049654","10670/1.dg5r0h","Jean-Pierre Chadelle","0000-0001-8204-0783","52023808","Service archéologique de Dordogne","","","","","","2007","Alexandre Michel","","194127507","et al.","","","","","","–","","","–","–","–","–","–","–","FALSE","20230210","shell","lithic core","animal bone","","","","","","magdalenian upper paleolithic paleolithic pleistocene quaternary  upper palaeolithic palaeolithic"
23,45.03471,0.34545,56,"exact",0,"Chauzeys","",15462,1846,2140,0,"Europe","France","Saint-Médard-de-Mussidan","https://www.geonames.org/6429588/saint-medard-de-mussidan.html","Middle Paleolithic","https://ark.frantiq.fr/ark:/26678/pcrtT7uGEJ3s0j","Châtelperronian","https://ark.frantiq.fr/ark:/26678/pcrt64y3sZlsg2","Aurignacian","https://ark.frantiq.fr/ark:/26678/pcrtcwGrm8MEKV","https://analytics.huma-num.fr/archeoviz/chauzeys","hal-04049632","10670/1.khl5h1","Jean-Pierre Chadelle","0000-0001-8204-0783","52023808","Service archéologique de Dordogne","","","","","","2013","Jean-Pierre Chadelle","0000-0001-8204-0783","52023808","et al.","","","","","","–","","","–","–","–","–","–","–","FALSE","20230215","lithic industry","","","","","","","","middle paleolithic paleolithic pleistocene quaternary middle palaeolithic palaeolithic  châtelperronian upper paleolithic chatelperronian upper palaeolithic aurignacian"
22,45.02903,0.34616,58,"exact",0,"Les Bessinaudes","",6053,485,598,0,"Europe","France","Saint-Médard-de-Mussidan","https://www.geonames.org/6429588/saint-medard-de-mussidan.html","Middle Paleolithic","https://ark.frantiq.fr/ark:/26678/pcrtT7uGEJ3s0j","","","","","https://analytics.huma-num.fr/archeoviz/bessinaudes","hal-04049630","10670/1.sth9u3","Jean-Pierre Chadelle","0000-0001-8204-0783","52023808","Service archéologique de Dordogne","","","","","","2012","Jean-Pierre Chadelle","0000-0001-8204-0783","52023808","et al.","","","","","","–","","","–","–","–","–","–","–","FALSE","20230210","lithic industry","","","","","","","","middle paleolithic paleolithic pleistocene quaternary middle palaeolithic palaeolithic "
21,48.89903,16.13721,265,"exact",-15,"Těšetice-Kyjovice X08","Q12060215",27091,0,0,0,"Europe","Czech Republic","Těšetice","https://www.geonames.org/11920284/tesetice.html","Neolithic","https://ark.frantiq.fr/ark:/26678/pcrtH8P95EucZz","Iron Age","https://ark.frantiq.fr/ark:/26678/pcrtW9SpIgIk7Q","","","https://analytics.huma-num.fr/archeoviz/teseticeX08","hal-04049629","10670/1.kofel0","Peter Tóth","0000-0002-2266-3492","","Solène Denis","0000-0001-7986-217X","315252578","","","","2019–2023","Peter Tóth","0000-0002-2266-3492","","Solène Denis","0000-0001-7986-217X","315252578","","","","–","","","–","–","–","–","–","–","FALSE","20230207","lithic industry","pottery","animal bone","shell","","","","","neolithic holocene quaternary  iron age historical"
