"id","lat","lon","altitude","location.type","grid.orientation","site.name","site.wikidata","n.objects","n.refits","n.objects.in.refitting.set","n.sites","site.continent","site.country","site.location","site.location.pid","period1","period1.uri","period2","period2.uri","period3","period3.uri","archeoviz.url","hal","hdl","excavator1","excavator1.orcid","excavator1.viaf","excavator2","excavator2.orcid","excavator2.viaf","excavator3","excavator3.orcid","excavator3.viaf","excavation.date","data.creator1","data.creator1.orcid","data.creator1.viaf","data.creator2","data.creator2.orcid","data.creator2.viaf","data.creator3","data.creator3.orcid","data.creator3.viaf","data.editor1","data.editor1.orcid","data.editor1.viaf","workflow.identifier.value","workflow.identifier.type","data.publication","data.identifier.value","data.identifier.type","data.license","internal.linking","archeoviz.pub.date","object_type1","object_type2","object_type3","object_type4","object_type5","object_type6","object_type7","object_type8","period.keywords"
10,44.8085,-0.2716,40,"exact",25,"Moulin-Neuf","",6634,0,0,0,"Europe","France","Saint-Quentin-de-Baron","https://www.geonames.org/6432442/saint-quentin-de-baron.html","Magdalenian","https://ark.frantiq.fr/ark:/26678/pcrt3kzJ9EkRhW","","","","","https://analytics.huma-num.fr/archeoviz/moulin-neuf","hal-03984141","10670/1.qjsu7f","Michel Lenoir","","41878491","","","","","","","1976–1980","Anthony Sécher","0000-0002-3287-2845","89168168401448041062","","","","","","","–","","","–","–","–","–","–","–","FALSE","20230112","lithic industry","animal bone","","","","","","","magdalenian upper paleolithic paleolithic pleistocene quaternary  upper palaeolithic palaeolithic"
9,45.1998245,0.7054696,123,"exact",-7,"Les Jambes","",1339,0,0,0,"Europe","France","Périgueux","https://www.geonames.org/6429478/perigueux.html","Gravettian","https://ark.frantiq.fr/ark:/26678/pcrt9U8BH9pVRu","","","","","https://analytics.huma-num.fr/archeoviz/les-jambes","hal-04049575","10670/1.e5i397","Guy Célérier","","8391164539798732240004","","","","","","","1963–1968","Anaïs Vignoles","0000-0001-5027-2037","123165322587816020595","","","","","","","–","","","–","–","2021","https://osf.io/zyb5p/","url","–","FALSE","20230110","lithic industry","","","","","","","","gravettian upper paleolithic paleolithic pleistocene quaternary  upper palaeolithic palaeolithic"
8,43.943128,4.543198,65,"exact",270,"Le Taï","",3992,0,0,0,"Europe","France","Rémoulins","https://www.geonames.org/6431368/remoulins.html","Early Neolithic","https://ark.frantiq.fr/ark:/26678/pcrtFRtEh1AndU","Late Neolithic","https://ark.frantiq.fr/ark:/26678/pcrtkWTHVxnZWN","","","https://analytics.huma-num.fr/archeoviz/tai","hal-03984133","10670/1.sj2nkq","Claire Manen","0000-0002-7827-8876","56752826","","","","","","","2001–2012","Thomas Perrin","0000-0002-8788-3437","61723290","Claire Manen","0000-0002-7827-8876","56752826","","","","–","","","–","–","2022","10.34847/nkl.ead7sd2y","doi","CC-BY-4.0","FALSE","20230104","pottery","millstone","animal bone","bone industry","lithic industry","","","","early neolithic neolithic holocene quaternary  late neolithic"
7,44.4050412,2.7248081,582,"exact",-90,"Roquemissou","Q109043505",6419,0,0,0,"Europe","France","Montrozier","https://www.geonames.org/6614187/montrozier.html","Mesolithic","https://ark.frantiq.fr/ark:/26678/pcrtNs85SfBRuH","Late Neolithic","https://ark.frantiq.fr/ark:/26678/pcrtkWTHVxnZWN","","","https://analytics.huma-num.fr/archeoviz/roquemissou","hal-03984120","10670/1.wb181f","Thomas Perrin","0000-0002-8788-3437","61723290","","","","","","","2012–2022","Thomas Perrin","0000-0002-8788-3437","61723290","","","","","","","–","","","–","–","–","–","–","–","FALSE","20230110","shell","pottery","millstone","human bone","animal bone","bone industry","","","mesolithic historical holocene quaternary  late neolithic neolithic"
6,45.74843,-0.50679,33,"exact",-126,"La Roche-à-Pierrot","Q109042385",1487,0,0,0,"Europe","France","Saint-Césaire","https://www.geonames.org/6616018/saint-cesaire.html","Mousterian","https://ark.frantiq.fr/ark:/26678/pcrtT7uGEJ3s0j","Châtelperronian","https://ark.frantiq.fr/ark:/26678/pcrt9U8BH9pVRu","","","https://analytics.huma-num.fr/archeoviz/roche-a-pierrot","hal-03984116","10670/1.97na4b","François Lévêque","","22292727","","","","","","","1976–1987","Brad Gravina","","224535512","et al.","","","","","","–","","","–","–","2018","10.1038/s41598-018-33084-9","doi","CC-BY-4.0","FALSE","20230106","lithic industry","human bone","","","","","","","mousterian middle paleolithic paleolithic pleistocene quaternary  middle palaeolithic palaeolithic châtelperronian upper paleolithic chatelperronian upper palaeolithic"
5,43.096889,-0.450908,522,"exact",76,"Le Poeymaü","Q109038436",15710,0,0,0,"Europe","France","Arudy","https://www.geonames.org/6450398/arudy.html","Mesolithic","https://ark.frantiq.fr/ark:/26678/pcrtNs85SfBRuH","Neolithic","https://ark.frantiq.fr/ark:/26678/pcrtH8P95EucZz","","","https://analytics.huma-num.fr/archeoviz/poeymau","hal-03983561","10670/1.gui0ua","Georges Laplace","","56069460","","","","","","","1948–1956","Sébastien Plutniak","0000-0002-6674-3806","35153833224064331876","","","","","","","–","","","–","–","–","–","–","–","FALSE","20230110","shell","pottery","metal objects","lithic industry","lithic core","animal bone","","","mesolithic historical holocene quaternary  neolithic"
4,44.8059,1.1632,209,"exact",-52,"Grotte XVI","",4545,60,196,0,"Europe","France","Cénac-et-Saint-Julien","https://www.geonames.org/6447799/cenac-et-saint-julien.html","Mousterian","https://ark.frantiq.fr/ark:/26678/pcrtT7uGEJ3s0j","Châtelperronian","https://ark.frantiq.fr/ark:/26678/pcrt64y3sZlsg2","","","https://analytics.huma-num.fr/archeoviz/grotte16","hal-03984111","10670/1.8qp32d","Jean-Philippe Rigaud","","17228744","Jan Simek","","110519053","","","","1982–2002","Emmanuel Discamps","0000-0002-2464-0761","281304531","","","","","","","–","","","–","–","2022","10.5852/cr-palevol2022v21a27","doi","CC-BY-4.0","FALSE","20230110","microfauna","human bone","animal bone","","","","","","mousterian middle paleolithic paleolithic pleistocene quaternary  middle palaeolithic palaeolithic châtelperronian upper paleolithic chatelperronian upper palaeolithic"
3,44.845533,1.565833,197,"exact",56,"Combe Cullier","",5944,7,20,0,"Europe","France","Lacave","https://www.geonames.org/6613292/lacave.html","Magdalenian","https://ark.frantiq.fr/ark:/26678/pcrt3kzJ9EkRhW","","","","","https://analytics.huma-num.fr/archeoviz/combe-cullier","hal-03984108","10670/1.59jkym","Jean-François Flies","","1517159234255103371065","","","","","","","1967–1974","Anthony Sécher","0000-0002-3287-2845","89168168401448041062","","","","","","","–","","","–","–","2021","https://github.com/magdantho/pycocu","url","–","FALSE","20230110","shell","lithic industry","animal bone","","","","","","magdalenian upper paleolithic paleolithic pleistocene quaternary  upper palaeolithic palaeolithic"
2,44.7542,0.849423,149,"exact",0,"Combe-Capelle A1-A2","Q1113596",15419,0,0,0,"Europe","France","Saint-Avit-Sénieur","https://www.geonames.org/6429519/saint-avit-senieur.html","Middle Paleolithic","https://ark.frantiq.fr/ark:/26678/pcrtT7uGEJ3s0j","","","","","https://analytics.huma-num.fr/archeoviz/combe-capelle-a1a2","hal-03984104","10670/1.djvrhi","Harold Dibble","0000-0003-1435-4208","2621899","Michel Lenoir","","41878491","","","","1987–1997","Harold Dibble","0000-0003-1435-4208","2621899","Shannon McPherron","0000-0002-2063-468X","10182331","","","","–","","","–","–","1995","https://www.oldstoneage.com/osa/cc/data","url","–","FALSE","20230113","lithic industry","lithic core","animal bone","","","","","","middle paleolithic paleolithic pleistocene quaternary middle palaeolithic palaeolithic "
1,43.2344,-2.2054,212,"exact",0,"Amalda 1, layer VII","",1964,0,0,0,"Europe","Spain","Zestoa","https://www.geonames.org/6358117/zestoa.html","Middle Paleolithic","https://ark.frantiq.fr/ark:/26678/pcrtT7uGEJ3s0j","","","","","https://analytics.huma-num.fr/archeoviz/amalda","hal-03984102","10670/1.c0l6rr","Jesús Altuna","","41881408","Laura Sánchez-Romero","0000-0003-2027-9996","","et al.","","","1979–1984, 2017","Laura Sánchez-Romero","0000-0003-2027-9996","","et al.","","","","","","Sébastien Plutniak","0000-0002-6674-3806","35153833224064331876","10.5281/zenodo.10828240","doi","2020","10.17632/vvyk8m5ttx.2","doi","CC-BY-4.0","FALSE","20230106","animal bone","lithic industry","","","","","","","middle paleolithic paleolithic pleistocene quaternary middle palaeolithic palaeolithic "
